,mean_last_epoch_train_loss,mean_last_epoch_train_acc,mean_last_epoch_val_loss,mean_last_epoch_val_acc,cv_iterator_factory_args_batch_search_window,cv_iterator_factory_args_batch_size,model_args_hl1_kernel_num,model_args_hl1_kernels,optimizer_args_lr
0,0.5522519712094908,0.7150405294009892,0.6413579267614028,0.6556461214396923,3,626,441,"[[16, 300]]",0.00026808789439247693
1,0.43874037210502803,0.8129350613665507,0.6083460207338687,0.6763897792838172,3,284,803,"[[13, 300]]",2.6747766546098006e-07
2,0.9509780666839455,0.5983124198571167,1.3993016293174343,0.5186830295814635,2,23,489,"[[17, 300]]",0.02140102621265416
3,0.5462208513943654,0.7206632872239883,0.6162948250210901,0.6679640992764905,8,107,61,"[[13, 300]]",1.1945901036591877e-05
4,0.795166663403781,0.6085963741775181,0.7138515754982278,0.6192874805385109,8,884,368,"[[1, 300]]",0.028493640391696995
5,1.0972755113746135,0.6148619252610368,1.147941118405189,0.5996886161736423,10,126,397,"[[12, 300]]",0.06255200108281456
6,0.5721556923606179,0.7006262593881664,0.6702648554092798,0.6305980401135635,4,572,870,"[[15, 300]]",5.714288646707644e-07
7,7.313966575243795,0.5686710020150211,21.220625207779257,0.49995420826082976,8,152,706,"[[6, 300]]",0.23682477542444386
8,0.6044133744149838,0.6737244370997728,0.6205916934543185,0.6594010440516531,9,448,910,"[[14, 300]]",2.9960396052963745e-08
9,2.2740699261012365,0.5848541399523722,3.5886944806134258,0.5325579265500504,3,57,677,"[[13, 300]]",0.16098330353163842
10,0.540590642961505,0.7240337058069244,0.601006590289834,0.6846322923344629,5,270,433,"[[3, 300]]",1.1945901036591877e-05
11,0.5022780798195196,0.7517116230078769,0.6428805378729424,0.6630185914461031,6,90,706,"[[15, 300]]",0.00016895460570154341
12,0.4888757538377193,0.7687248122366734,0.61312468846639,0.6720853558018134,1,335,476,"[[11, 300]]",5.714288646707644e-07
13,0.42606586061268353,0.8277843927459242,0.6054936161747685,0.673825441890283,4,127,897,"[[15, 300]]",9.016704105579976e-08
14,8.520506560267448,0.5690385672407475,3.388532110747621,0.6385658027291876,4,36,907,"[[1, 300]]",0.28440813660426556
15,0.6414424351283482,0.6323330738230445,0.9894361950102306,0.5181793204505907,5,982,128,"[[8, 300]]",0.009955813979036665
16,0.5394290321751645,0.7292029217805459,0.6549456914265951,0.657569374484843,7,336,211,"[[10, 300]]",3.721020284830345e-05
17,0.7512351197081727,0.5619218263418209,0.7489281678811098,0.562826266141588,5,540,11,"[[10, 300]]",3.6237574718711585e-08
18,0.48001030815972223,0.7707455577944679,0.6626750721650965,0.654867661873798,10,588,534,"[[9, 300]]",8.135741848569467e-05
19,0.5828387422381707,0.697119587723738,0.6025505065917969,0.6735506914552615,8,833,636,"[[3, 300]]",2.9960396052963745e-08
