,mean_last_epoch_train_loss,mean_last_epoch_train_acc,mean_last_epoch_val_loss,mean_last_epoch_val_acc,cv_iterator_factory_args_batch_search_window,cv_iterator_factory_args_batch_size,model_args_hl1_kernel_num,model_args_hl1_kernels,optimizer_args_lr
0,0.5511116310402199,0.716053764425719,0.6459282145780676,0.6511585310010074,4,626,441,"[[16, 300]]",0.00026808789439247693
1,0.4363908015963099,0.8135304084997252,0.6079747235333478,0.6748328601520286,4,284,803,"[[13, 300]]",2.6747766546098006e-07
2,0.8724426944485585,0.5995775325151127,1.9972415964226973,0.5010532100009158,3,23,489,"[[17, 300]]",0.02140102621265416
3,0.546220563492685,0.7199931265572643,0.6151130210625734,0.6659034710138291,8,107,61,"[[13, 300]]",1.1945901036591877e-05
4,0.795166663403781,0.6085963741775181,0.7138515754982278,0.6192874805385109,8,884,368,"[[1, 300]]",0.028493640391696995
5,0.5481073742821103,0.7304794834218722,0.6141648519606817,0.6661324297096803,10,979,996,"[[11, 300]]",2.8879986180285755e-08
6,0.6072479823850235,0.6694323945924855,0.6247535281711154,0.6560124553530543,6,452,987,"[[15, 300]]",2.8862739975821228e-08
7,0.6711806567747202,0.6102308115039384,0.6815772283644903,0.605778917483286,10,512,12,"[[5, 300]]",2.8862740197865833e-08
8,0.5222652484844257,0.7516028576662392,0.6097866449600611,0.6640260097078488,4,543,727,"[[15, 300]]",2.8862739975821228e-08
9,6.51737486641362,0.5801888957745186,17.38689281322338,0.5002289586958513,7,386,846,"[[3, 300]]",0.26861502226354905
10,0.47027139796355777,0.7992191793368749,0.6008881462944878,0.6765271545013279,5,280,802,"[[10, 300]]",3.101211787370772e-08
11,0.5314256175728121,0.738482322769738,0.6050810090788118,0.6719021888451323,3,12,999,"[[16, 300]]",2.8864604928457993e-08
12,0.566457158043271,0.7095392929107895,0.6187529336838495,0.6567909149189486,6,978,642,"[[15, 300]]",2.8862739975821228e-08
13,0.7097859146571396,0.5897371313427368,0.7169488760141226,0.5830204231156699,3,944,12,"[[20, 300]]",2.8862739975821228e-08
14,0.572462318175639,0.7025038926543323,0.6255085555366848,0.652532283176115,3,21,21,"[[20, 300]]",2.8864604928457993e-08
15,0.48887130449403005,0.7816164418106165,0.6063739384446188,0.6721769392801539,6,200,802,"[[20, 300]]",2.8862739975821228e-08
16,0.5931473857951615,0.6833241524937456,0.6213357713487413,0.6537686601337119,3,434,466,"[[19, 300]]",2.8862739975821228e-08
17,0.5829721466312564,0.6928409507235758,0.6219431354153541,0.655966663613884,4,722,492,"[[20, 300]]",2.8862739975821228e-08
18,0.4853776829893311,0.7777523355925994,0.6103683723198189,0.6703910614525139,6,17,999,"[[19, 300]]",2.8868736068332623e-08
19,0.4813960692982032,0.7876728796482872,0.6062482198079427,0.6726806484110267,4,300,773,"[[16, 300]]",2.8862739975821228e-08
20,0.5852082450434847,0.6918994509462294,0.6140288593613099,0.6648960527520835,4,194,996,"[[10, 300]]",2.8862740197865833e-08
21,0.5373756480666826,0.7414358349054433,0.6137948919225622,0.6652165949262753,7,755,966,"[[18, 300]]",2.8862739975821228e-08
22,0.47389676360848143,0.7929623099468767,0.610237498342255,0.6720395640626431,5,279,844,"[[19, 300]]",2.8862739975821228e-08
